,filename,Manta score ,prediction
0,G0019229.JPG,0.063,non manta
1,G0019230.JPG,0.031,non manta
2,G0019231.JPG,0.05,non manta
3,G0019232.JPG,0.338,manta
4,G0019233.JPG,0.038,non manta
5,G0019234.JPG,0.124,non manta
6,G0019235.JPG,0.029,non manta
7,G0019236.JPG,0.046,non manta
8,G0019237.JPG,0.05,non manta
9,G0019238.JPG,0.022,non manta
10,G0019510.JPG,0.365,manta
11,G0019511.JPG,0.799,manta
12,G0019513.JPG,0.898,manta
13,G0019514.JPG,0.89,manta
14,G0019515.JPG,0.481,manta
15,G0019516.JPG,0.906,manta
16,G0019517.JPG,0.627,manta
17,G0019521.JPG,0.365,manta
18,G0019528.JPG,0.651,manta
19,G0019552.JPG,0.009,non manta
